timestamp_seconds,speed_kmh,obstacle_distance,safety_state,throttle,brake,collision,collision_actor
18.341,14.994,,INACTIVITY_WARNING,0.220,0.000,False,
21.353,15.019,,SAFE_STOP,0.000,1.000,False,
50.790,15.029,14.126,INACTIVITY_WARNING,0.220,0.000,False,
52.679,15.031,7.104,SLOWING + INACTIVITY_WARNING,0.080,0.000,False,
52.987,14.182,4.984,BRAKING + INACTIVITY_WARNING,0.000,0.450,False,
53.641,8.043,,INACTIVITY_WARNING,0.220,0.000,False,
53.829,7.907,,SAFE_STOP,0.000,1.000,False,
61.885,12.059,0.000,EMERGENCY,0.000,1.000,False,
61.932,9.575,0.000,EMERGENCY,0.000,1.000,True,vehicle.lincoln.mkz_2017
0.164,0.000,7.256,SLOWING,0.080,0.000,False,
19.459,14.993,,LANE_INVASION,0.220,0.000,False,
20.547,15.005,,LANE_INVASION,0.220,0.000,False,
39.459,15.014,1.333,EMERGENCY,0.000,1.000,False,
42.889,12.150,7.982,SLOWING,0.080,0.000,False,
43.900,9.933,4.883,BRAKING,0.000,0.450,False,
20.721,4.050,,CLEAR,0.220,0.000,True,traffic.traffic_light
20.373,2.095,,CLEAR,0.220,0.000,True,static.building
0.167,0.000,5.493,SLOWING,0.080,0.000,False,
59.731,15.031,,LANE_INVASION + CORRECTING_RIGHT,0.220,0.000,False,
59.978,14.795,,LANE_INVASION + CORRECTING_RIGHT,0.220,0.000,False,
60.325,14.889,,LANE_INVASION,0.220,0.000,False,
24.173,15.020,7.651,SLOWING,0.080,0.000,False,
25.179,11.891,4.729,BRAKING,0.000,0.450,False,
37.132,0.003,5.121,SLOWING,0.080,0.000,False,
43.782,13.064,,TRAFFIC_LIGHT_YELLOW,0.220,0.000,False,
52.830,4.686,9.775,CLEAR,0.220,0.000,True,traffic.traffic_light
18.125,14.997,,TRAFFIC_LIGHT_RED_BRAKING,0.000,0.750,False,
43.214,2.609,,CLEAR,0.220,0.000,True,static.pole
10.719,11.062,7.823,SLOWING,0.080,0.000,False,
12.222,10.322,,CORRECTING_RIGHT,0.350,0.000,False,
32.429,11.105,,TRAFFIC_LIGHT_RED_BRAKING,0.000,0.750,False,
80.065,11.134,,TRAFFIC_LIGHT_RED_BRAKING,0.000,0.750,False,
109.299,11.109,,CORRECTING_RIGHT,0.350,0.000,False,
129.447,19.195,,LANE_INVASION,0.273,0.000,False,
129.717,19.222,,INACTIVITY_WARNING + LANE_INVASION,0.273,0.000,False,
130.420,19.210,,INACTIVITY_WARNING + LANE_INVASION,0.273,0.000,False,
131.363,19.241,,INACTIVITY_WARNING + LANE_INVASION,0.273,0.000,False,
132.316,19.314,,INACTIVITY_WARNING + LANE_INVASION,0.273,0.000,False,
132.711,19.265,,SAFE_STOP + LANE_INVASION,0.000,1.000,False,
133.364,9.556,,SAFE_STOP + LANE_INVASION,0.000,1.000,False,
133.412,8.826,,SAFE_STOP + LANE_INVASION,0.000,1.000,False,
133.567,6.483,,SAFE_STOP + LANE_INVASION,0.000,1.000,False,
135.610,0.000,,SAFE_STOP,0.000,1.000,False,
145.911,0.000,3.574,BRAKING + SAFE_STOP,0.000,1.000,False,
146.221,0.000,2.413,EMERGENCY + SAFE_STOP,0.000,1.000,False,
